Domain,Bias Rating,Reliability Rating,Average Traffic,Bias Rating_scaled,Reliability Rating_scaled
abc15.com,-0.63,51.23,"5,154,155",-7.797940167,1.00
reuters.com,-2.79,51.07,"29,540,379",-14.8602256,1.00
stripes.com,0.43,50.39,"2,365,350",-4.332188982,0.98
upi.com,-0.51,48.79,"4,203,451",-7.405590976,0.94
patch.com,-5.64,48.71,"25,215,163",-24.17851888,0.94
tennessean.com,-2.06,48.68,"3,380,623",-12.47343469,0.94
post-gazette.com,-0.48,48.65,"5,367,021",-7.307503678,0.94
newsy.com,-4.23,48.61,"219,800",-19.56841589,0.94
seattletimes.com,-1.55,48.52,"9,746,581",-10.80595063,0.94
jsonline.com,-6.87,48.29,"4,830,733",-28.20009809,0.93
indystar.com,-2.36,48.27,"3,355,809",-13.45430767,0.93
oregonlive.com,-2.65,48.22,"11,636,789",-14.40248488,0.93
pbs.org,-6.48,48.17,"22,160,901",-26.92496322,0.93
orlandosentinel.com,-4.66,48.17,"4,200,207",-20.97433382,0.93
ocregister.com,-1.72,48.17,"3,493,002",-11.36177865,0.93
afp.com,-2.15,47.98,"597,024",-12.76769658,0.93
npr.org,-4.85,47.93,"77,044,457",-21.59555338,0.93
triblive.com,-1.68,47.93,"6,911,657",-11.23099559,0.93
al.com,-2.65,47.7,"10,510,356",-14.40248488,0.92
rollcall.com,-3.14,47.7,"1,379,660",-16.00457741,0.92
propublica.org,-7.17,47.53,"3,410,718",-29.18097106,0.92
latimes.com,-7.69,47.51,"39,415,284",-30.88115089,0.92
nj.com,-3.67,47.5,"17,812,349",-17.737453,0.92
newsday.com,-4.69,47.44,"4,091,199",-21.07242112,0.91
voanews.com,-3.78,47.28,"2,012,777",-18.09710642,0.91
syracuse.com,-2.48,47.27,"6,214,552",-13.84665686,0.91
sltrib.com,-2.2,47.12,"4,614,223",-12.93117541,0.91
nola.com,-3.11,47.07,"7,096,795",-15.90649011,0.91
snopes.com,-0.78,46.9,"24,571,790",-8.288376655,0.90
wsj.com,4.91,46.87,"39,005,533",10.31551414,0.90
cleveland.com,-0.67,46.85,"10,781,513",-7.92872323,0.90
the-scientist.com,-0.05,46.8,"685,719",-5.901585745,0.90
miamiherald.com,-4.31,46.76,"9,850,883",-19.82998202,0.90
detroitnews.com,-1.79,46.74,"6,419,653",-11.59064901,0.90
tampabay.com,-5.34,46.63,"6,070,327",-23.1976459,0.90
montanafreepress.org,-3.04,46.56,"16,227",-15.67761975,0.89
presstelegram.com,-2.12,46.52,"310,699",-12.66960929,0.89
